id	date	home_team	home_team_score	visit_team	visit_team_score
400489792	2014-03-07	Toronto Raptors	99	Sacramento	87
400489813	2014-03-09	Minnesota	104	Toronto Raptors	111
400489833	2014-03-12	Toronto Raptors	101	Detroit	87
400489847	2014-03-14	Toronto Raptors	99	Memphis	86
400489861	2014-03-16	Toronto Raptors	113	Phoenix	121
400489877	2014-03-18	Atlanta	118	Toronto Raptors	113
400489885	2014-03-19	New Orleans	100	Toronto Raptors	107
400489897	2014-03-21	Toronto Raptors	118	Oklahoma City	119
400489913	2014-03-23	Toronto Raptors	96	Atlanta	86
400489930	2014-03-25	Cleveland	102	Toronto Raptors	100
400489969	2014-03-30	Orlando	93	Toronto Raptors	98
400489978	2014-03-31	Miami	93	Toronto Raptors	83
400489991	2014-04-02	Toronto Raptors	107	Houston	103
400490004	2014-04-04	Toronto Raptors	102	Indiana	94
400490021	2014-04-05	Milwaukee	98	Toronto Raptors	102
400490071	2014-04-13	Detroit	107	Toronto Raptors	116
400490078	2014-04-14	Toronto Raptors	110	Milwaukee	100
400488890	2014-10-30	Golden State Warriors	125	Los Angeles	94
400488892	2014-10-31	LA	126	Golden State Warriors	115
400488913	2014-11-02	Golden State Warriors	98	Sacramento	87
400488940	2014-11-06	Minnesota	93	Golden State Warriors	106
400488955	2014-11-08	San Antonio	76	Golden State Warriors	74
400488964	2014-11-09	Memphis	108	Golden State Warriors	90
400488982	2014-11-12	Golden State Warriors	113	Detroit	95
400488997	2014-11-14	Golden State Warriors	116	Oklahoma City	115
400489018	2014-11-16	Golden State Warriors	102	Utah	88
400489027	2014-11-18	Utah	87	Golden State Warriors	98
400489046	2014-11-20	Golden State Warriors	81	Memphis	88
400489059	2014-11-22	Los Angeles	102	Golden State Warriors	95
400489069	2014-11-23	Golden State Warriors	101	Portland	113
400489087	2014-11-26	New Orleans	101	Golden State Warriors	102
400489098	2014-11-27	Dallas	103	Golden State Warriors	99
400489108	2014-11-29	Oklahoma City	113	Golden State Warriors	112
400489124	2014-12-01	Sacramento	113	Golden State Warriors	115
400489158	2014-12-06	Houston	105	Golden State Warriors	83
400489166	2014-12-07	Memphis	82	Golden State Warriors	108
400489177	2014-12-09	Charlotte	115	Golden State Warriors	111
400489199	2014-12-11	Golden State Warriors	95	Dallas	93
400489214	2014-12-13	Golden State Warriors	112	Houston	116
400489228	2014-12-15	Phoenix	106	Golden State Warriors	102
400489241	2014-12-17	Golden State Warriors	104	New Orleans	93
400489255	2014-12-19	Golden State Warriors	102	San Antonio	104
400489275	2014-12-21	Golden State Warriors	102	Los Angeles	83
400489288	2014-12-23	Denver	81	Golden State Warriors	89
400489295	2014-12-25	Golden State Warriors	105	LA	103
400489308	2014-12-27	Golden State Warriors	115	Phoenix	86
400489321	2014-12-29	Cleveland	104	Golden State Warriors	108
400489335	2014-12-31	Orlando	81	Golden State Warriors	94
400489347	2014-01-02	Miami	114	Golden State Warriors	123
400489356	2014-01-03	Atlanta	100	Golden State Warriors	101
400489374	2014-01-05	Washington	96	Golden State Warriors	112
400489388	2014-01-07	Milwaukee	80	Golden State Warriors	101
400489449	2014-01-15	Golden State Warriors	116	Denver	123
400489465	2014-01-17	Oklahoma City	127	Golden State Warriors	121
400489472	2014-01-18	New Orleans	87	Golden State Warriors	97
